"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
11.610,1.01,-0.25,1.30,11.610,1.11,0.00,-0.02,11.610,1.03,0.16,0.24,11.610,0.96,-0.09,0.36,11.610,0.97,-0.09,0.17,11.610,1.08,-0.06,0.75,11.610,1.12,0.00,0.13,11.610,0.45,0.00,0.05,11.610,1.08,0.00,0.25,11.610,0.62,0.00,0.00,11.610,0.90,0.00,-0.09,11.610,1.06,0.16,0.93
11.620,1.00,-0.23,1.57,11.620,1.11,0.00,0.03,11.620,1.03,0.16,0.22,11.620,0.96,-0.09,0.52,11.620,0.97,-0.10,-0.03,11.620,1.08,-0.05,0.71,11.620,1.12,0.00,0.03,11.620,0.45,0.00,0.00,11.620,1.08,0.01,0.04,11.620,0.62,0.00,0.00,11.620,0.90,0.00,0.07,11.620,1.06,0.18,1.42
11.630,1.00,-0.22,1.29,11.630,1.11,-9.24E-4,0.11,11.630,1.03,0.16,0.30,11.630,0.96,-0.08,0.41,11.630,0.97,-0.11,0.35,11.630,1.08,-0.04,0.39,11.630,1.12,0.00,-0.11,11.630,0.45,0.00,0.00,11.630,1.08,0.00,-0.14,11.630,0.62,0.00,0.00,11.630,0.90,-7.46E-4,0.20,11.630,1.06,0.20,1.57
11.640,1.00,-0.20,0.95,11.640,1.11,0.00,0.09,11.640,1.03,0.17,0.24,11.640,0.96,-0.08,0.05,11.640,0.97,-0.09,0.39,11.640,1.08,-0.04,0.14,11.640,1.12,0.00,-0.08,11.640,0.45,0.00,0.00,11.640,1.08,0.00,-0.17,11.640,0.62,0.00,0.00,11.640,0.90,0.00,0.16,11.640,1.07,0.21,1.42
11.650,1.00,-0.20,0.62,11.650,1.11,0.00,-0.06,11.650,1.04,0.17,0.22,11.650,0.96,-0.08,-0.06,11.650,0.97,-0.09,-0.20,11.650,1.08,-0.04,0.08,11.650,1.12,-9.31E-4,0.03,11.650,0.45,0.00,0.00,11.650,1.08,0.00,-0.06,11.650,0.62,0.00,0.00,11.650,0.90,0.00,0.11,11.650,1.07,0.23,0.71
11.660,1.00,-0.19,0.54,11.660,1.11,9.24E-4,-0.22,11.660,1.04,0.17,0.27,11.660,0.96,-0.08,0.35,11.660,0.97,-0.10,-0.04,11.660,1.08,-0.04,0.26,11.660,1.12,0.00,0.13,11.660,0.45,0.00,-0.01,11.660,1.08,0.00,0.00,11.660,0.62,0.00,0.00,11.660,0.90,0.00,0.09,11.660,1.07,0.23,-0.30
11.670,0.99,-0.19,0.24,11.670,1.11,0.00,-0.14,11.670,1.04,0.17,0.33,11.670,0.96,-0.07,0.76,11.670,0.97,-0.11,1.39,11.670,1.08,-0.04,0.54,11.670,1.12,0.00,0.03,11.670,0.45,0.00,0.04,11.670,1.08,0.00,-0.01,11.670,0.62,0.00,0.00,11.670,0.90,0.01,-0.05,11.670,1.07,0.22,-0.54
11.680,0.99,-0.18,-0.59,11.680,1.11,0.00,0.03,11.680,1.04,0.18,0.33,11.680,0.96,-0.06,0.76,11.680,0.96,-0.07,1.99,11.680,1.08,-0.03,0.71,11.680,1.12,0.00,-0.10,11.680,0.45,-3.73E-4,0.14,11.680,1.08,0.00,0.02,11.680,0.62,0.00,0.00,11.680,0.90,0.00,-0.29,11.680,1.07,0.21,0.49
11.690,0.99,-0.20,-0.98,11.690,1.11,0.00,0.11,11.690,1.04,0.18,0.30,11.690,0.96,-0.06,0.04,11.690,0.96,-0.03,0.50,11.690,1.07,-0.02,0.60,11.690,1.12,0.00,-0.11,11.690,0.45,0.00,0.20,11.690,1.08,-8.99E-4,0.13,11.690,0.62,0.00,0.00,11.690,0.90,0.00,-0.36,11.690,1.08,0.22,1.55
11.700,0.99,-0.22,-0.21,11.700,1.11,0.00,0.06,11.700,1.05,0.18,0.43,11.700,0.96,-0.06,-0.67,11.700,0.96,-0.06,-1.46,11.700,1.07,-0.02,0.29,11.700,1.12,0.00,-0.06,11.700,0.45,0.01,0.12,11.700,1.08,0.00,0.22,11.700,0.62,0.00,0.00,11.700,0.90,-0.01,-0.06,11.700,1.08,0.25,1.32
11.710,0.99,-0.21,1.44,11.710,1.11,0.00,0.00,11.710,1.05,0.19,0.47,11.710,0.96,-0.08,-0.49,11.710,0.96,-0.09,-1.40,11.710,1.07,-0.02,0.24,11.710,1.12,0.00,0.00,11.710,0.45,0.01,-0.08,11.710,1.08,0.01,0.14,11.710,0.62,0.00,0.00,11.710,0.90,0.00,0.26,11.710,1.08,0.26,0.28
11.720,0.98,-0.18,2.21,11.720,1.11,0.00,0.00,11.720,1.05,0.19,0.33,11.720,0.96,-0.08,0.56,11.720,0.96,-0.10,0.55,11.720,1.07,-0.02,0.44,11.720,1.12,0.00,0.00,11.720,0.45,0.00,-0.24,11.720,1.08,0.01,-0.05,11.720,0.62,0.00,0.00,11.720,0.90,0.00,0.23,11.720,1.08,0.25,-0.22
11.730,0.98,-0.15,1.78,11.730,1.11,0.00,0.00,11.730,1.05,0.19,0.13,11.730,0.96,-0.06,1.30,11.730,0.96,-0.07,2.08,11.730,1.07,-0.01,0.46,11.730,1.12,0.00,0.00,11.730,0.45,3.73E-4,-0.25,11.730,1.08,0.00,-0.08,11.730,0.62,0.00,0.00,11.730,0.90,0.00,-0.14,11.730,1.09,0.25,0.17
11.740,0.98,-0.15,0.74,11.740,1.11,0.00,0.00,11.740,1.05,0.19,0.16,11.740,0.96,-0.04,0.42,11.740,0.96,-0.04,1.90,11.740,1.07,0.00,0.17,11.740,1.12,0.00,0.00,11.740,0.45,0.00,-0.16,11.740,1.08,0.00,0.05,11.740,0.62,0.00,0.00,11.740,0.90,0.00,-0.42,11.740,1.09,0.26,0.67
11.750,0.98,-0.14,0.30,11.750,1.11,0.00,0.00,11.750,1.05,0.20,0.30,11.750,0.96,-0.04,-0.90,11.750,0.96,-0.03,0.49,11.750,1.07,-0.01,-0.01,11.750,1.12,0.00,-0.02,11.750,0.45,0.00,-0.01,11.750,1.08,0.01,0.09,11.750,0.62,0.00,0.00,11.750,0.90,-0.01,-0.30,11.750,1.09,0.26,0.74
11.760,0.98,-0.15,0.80,11.760,1.11,0.00,-0.02,11.760,1.06,0.20,0.27,11.760,0.95,-0.07,-1.06,11.760,0.96,-0.03,-0.86,11.760,1.07,-0.01,0.19,11.760,1.12,0.00,0.03,11.760,0.45,0.00,0.10,11.760,1.08,0.01,-0.08,11.760,0.62,0.00,0.00,11.760,0.90,-0.01,-0.02,11.760,1.09,0.27,0.54
11.770,0.98,-0.13,1.37,11.770,1.11,0.00,0.03,11.770,1.06,0.20,0.13,11.770,0.95,-0.08,0.27,11.770,0.96,-0.05,-1.10,11.770,1.07,0.00,0.41,11.770,1.12,-9.31E-4,0.10,11.770,0.45,0.00,0.06,11.770,1.08,0.00,-0.19,11.770,0.62,0.00,0.00,11.770,0.90,-0.01,0.10,11.770,1.10,0.27,0.20
11.780,0.97,-0.10,1.30,11.780,1.11,-9.24E-4,0.11,11.780,1.06,0.20,0.13,11.780,0.95,-0.06,1.49,11.780,0.96,-0.07,-0.25,11.780,1.07,0.01,0.35,11.780,1.12,0.00,0.13,11.780,0.45,3.73E-4,-0.05,11.780,1.08,-8.99E-4,-0.06,11.780,0.62,0.00,0.00,11.780,0.90,-0.01,0.08,11.780,1.10,0.28,-0.19
11.790,0.98,-0.10,0.16,11.790,1.11,0.00,0.09,11.790,1.06,0.20,0.35,11.790,0.95,-0.04,1.41,11.790,0.96,-0.06,0.83,11.790,1.07,0.01,0.11,11.790,1.12,0.00,0.03,11.790,0.45,0.00,-0.07,11.790,1.08,0.00,0.18,11.790,0.62,0.00,0.00,11.790,0.90,-0.01,0.14,11.790,1.10,0.27,-0.43
11.800,0.97,-0.10,-0.79,11.800,1.11,0.00,-0.06,11.800,1.06,0.21,0.49,11.800,0.95,-0.03,0.71,11.800,0.96,-0.04,1.29,11.800,1.07,0.01,0.02,11.800,1.12,0.00,-0.11,11.800,0.45,0.00,0.09,11.800,1.08,0.00,0.28,11.800,0.62,0.00,0.00,11.800,0.90,0.00,0.18,11.800,1.11,0.26,-0.30
11.810,0.97,-0.12,-0.83,11.810,1.11,9.24E-4,-0.24,11.810,1.07,0.22,0.47,11.810,0.95,-0.03,0.26,11.810,0.96,-0.03,0.98,11.810,1.07,0.00,0.10,11.810,1.12,0.00,-0.08,11.810,0.45,-3.73E-4,0.16,11.810,1.08,0.01,0.14,11.810,0.62,0.00,0.00,11.810,0.90,7.46E-4,0.04,11.810,1.11,0.26,-6.71E-4
11.820,0.97,-0.12,-0.23,11.820,1.11,0.00,-0.11,11.820,1.07,0.22,0.32,11.820,0.95,-0.03,0.36,11.820,0.96,-0.02,0.46,11.820,1.07,0.01,0.24,11.820,1.12,-9.31E-4,0.05,11.820,0.45,0.00,0.02,11.820,1.08,0.01,-0.02,11.820,0.62,0.00,0.01,11.820,0.90,0.00,-0.16,11.820,1.11,0.27,-0.08
11.830,0.97,-0.12,0.37,11.830,1.11,0.00,0.13,11.830,1.07,0.22,0.19,11.830,0.95,-0.02,0.49,11.830,0.96,-0.02,0.29,11.830,1.07,0.01,0.42,11.830,1.12,0.00,0.11,11.830,0.45,3.73E-4,-0.15,11.830,1.08,0.01,-0.20,11.830,0.62,0.00,-0.03,11.830,0.90,-0.01,-0.15,11.830,1.11,0.27,-0.51
11.840,0.97,-0.12,0.47,11.840,1.11,0.00,0.24,11.840,1.07,0.22,0.18,11.840,0.95,-0.02,0.46,11.840,0.96,-0.02,0.46,11.840,1.07,0.02,0.49,11.840,1.12,0.00,-0.11,11.840,0.45,0.00,-0.11,11.840,1.08,0.01,-0.04,11.840,0.62,5.17E-4,-0.13,11.840,0.89,-0.01,0.07,11.840,1.12,0.25,-0.67
11.850,0.97,-0.11,0.31,11.850,1.11,0.00,0.11,11.850,1.08,0.23,0.22,11.850,0.95,-0.01,0.35,11.850,0.96,-0.01,0.58,11.850,1.07,0.02,0.44,11.850,1.12,0.00,-0.30,11.850,0.45,0.00,0.04,11.850,1.08,-7.29E-4,0.33,11.850,0.62,0.00,-0.22,11.850,0.89,0.00,0.20,11.850,1.12,0.25,-0.22
11.860,0.97,-0.11,0.15,11.860,1.11,0.00,-0.14,11.860,1.08,0.23,0.29,11.860,0.95,-0.01,0.29,11.860,0.96,0.00,0.39,11.860,1.08,0.02,0.37,11.860,1.12,-0.01,-0.14,11.860,0.45,0.00,0.10,11.860,1.08,0.01,0.44,11.860,0.62,-0.01,-0.09,11.860,0.89,0.00,0.17,11.860,1.12,0.25,-0.12
11.870,0.97,-0.11,0.27,11.870,1.11,9.24E-4,-0.17,11.870,1.08,0.23,0.29,11.870,0.95,-0.01,0.30,11.870,0.96,0.00,0.14,11.870,1.08,0.03,0.41,11.870,1.12,0.00,0.22,11.870,0.45,0.00,0.05,11.870,1.08,0.02,0.12,11.870,0.62,-0.01,0.18,11.870,0.89,0.00,0.06,11.870,1.12,0.26,-1.11
11.880,0.96,-0.11,0.56,11.880,1.11,0.00,-0.08,11.880,1.08,0.23,0.30,11.880,0.95,0.00,0.28,11.880,0.96,0.00,0.12,11.880,1.08,0.03,0.51,11.880,1.12,0.00,0.36,11.880,0.45,0.00,0.00,11.880,1.08,0.01,-0.43,11.880,0.62,-5.17E-4,0.26,11.880,0.89,0.00,0.00,11.880,1.13,0.23,-2.71
11.890,0.96,-0.10,0.68,11.890,1.11,0.00,0.06,11.890,1.09,0.24,0.25,11.890,0.95,0.00,0.16,11.890,0.96,-7.98E-4,0.23,11.890,1.08,0.04,0.44,11.890,1.12,0.01,0.11,11.890,0.45,0.00,0.00,11.890,1.08,0.01,-0.33,11.890,0.62,0.00,0.12,11.890,0.89,0.00,0.01,11.890,1.13,0.19,-3.79
11.900,0.96,-0.09,0.50,11.900,1.11,0.00,0.03,11.900,1.09,0.24,0.19,11.900,0.95,7.92E-4,-0.10,11.900,0.96,0.00,0.27,11.900,1.08,0.04,0.22,11.900,1.12,0.00,-0.14,11.900,0.45,0.00,0.00,11.900,1.08,1.66E-4,0.02,11.900,0.62,0.00,-0.05,11.900,0.89,0.00,-0.04,11.900,1.13,0.15,-4.11
11.910,0.96,-0.09,0.23,11.910,1.11,9.24E-4,-0.11,11.910,1.09,0.24,0.19,11.910,0.95,0.00,-0.34,11.910,0.96,0.00,0.32,11.910,1.08,0.04,0.08,11.910,1.12,0.00,-0.17,11.910,0.45,0.00,0.00,11.910,1.08,0.01,0.17,11.910,0.62,0.00,-0.05,11.910,0.89,7.46E-4,-0.11,11.910,1.13,0.11,-4.63
11.920,0.96,-0.09,0.10,11.920,1.11,0.00,-0.08,11.920,1.09,0.24,0.21,11.920,0.95,-0.01,-0.24,11.920,0.96,0.01,0.38,11.920,1.08,0.04,0.10,11.920,1.12,0.00,-0.06,11.920,0.45,0.00,0.00,11.920,1.08,0.01,0.09,11.920,0.62,0.00,-0.04,11.920,0.89,0.00,-0.09,11.920,1.13,0.07,-5.48
11.930,0.96,-0.09,-0.08,11.930,1.11,0.00,0.03,11.930,1.09,0.25,0.17,11.930,0.95,-0.01,0.28,11.930,0.96,0.01,0.38,11.930,1.08,0.04,0.24,11.930,1.12,0.00,0.00,11.930,0.45,0.00,0.00,11.930,1.08,0.01,-0.08,11.930,0.62,5.17E-4,-0.10,11.930,0.89,0.00,0.07,11.930,1.13,-2.64E-4,-6.08
11.940,0.96,-0.08,-0.38,11.940,1.11,0.00,0.11,11.940,1.10,0.25,0.05,11.940,0.95,0.00,0.92,11.940,0.96,0.02,0.34,11.940,1.08,0.05,0.41,11.940,1.12,0.00,0.00,11.940,0.45,0.00,0.00,11.940,1.08,0.01,-0.11,11.940,0.62,0.00,-0.06,11.940,0.89,-7.46E-4,0.22,11.940,1.13,-0.06,-5.75
11.950,0.96,-0.09,-0.52,11.950,1.11,0.00,0.05,11.950,1.10,0.25,0.03,11.950,0.95,0.01,1.16,11.950,0.96,0.02,0.43,11.950,1.08,0.05,0.51,11.950,1.12,0.00,0.00,11.950,0.45,0.00,-0.01,11.950,1.08,0.01,-0.24,11.950,0.62,0.00,7.36E-6,11.950,0.89,0.00,0.15,11.950,1.13,-0.12,-4.83
11.960,0.96,-0.10,-0.09,11.960,1.11,0.00,0.03,11.960,1.10,0.25,0.10,11.960,0.95,0.02,0.97,11.960,0.96,0.02,0.81,11.960,1.08,0.06,0.44,11.960,1.12,0.00,0.00,11.960,0.45,0.00,0.04,11.960,1.08,0.00,-0.27,11.960,0.62,5.17E-4,1.21E-5,11.960,0.89,0.00,-0.06,11.960,1.13,-0.16,-4.01
11.970,0.96,-0.10,0.70,11.970,1.11,-9.24E-4,0.11,11.970,1.10,0.25,0.11,11.970,0.95,0.03,0.54,11.970,0.96,0.03,1.10,11.970,1.08,0.06,0.21,11.970,1.12,0.00,0.00,11.970,0.45,-3.73E-4,0.10,11.970,1.08,0.00,-0.17,11.970,0.62,0.00,-0.02,11.970,0.89,7.46E-4,-0.24,11.970,1.13,-0.20,-3.10
11.980,0.96,-0.08,1.07,11.980,1.11,0.00,0.09,11.980,1.11,0.25,0.11,11.980,0.95,0.03,0.21,11.980,0.96,0.05,0.99,11.980,1.08,0.06,0.08,11.980,1.12,0.00,0.00,11.980,0.45,0.00,0.07,11.980,1.08,0.00,-0.06,11.980,0.62,0.00,0.08,11.980,0.89,0.00,-0.28,11.980,1.13,-0.23,-1.75
11.990,0.95,-0.07,0.87,11.990,1.11,0.00,-0.06,11.990,1.11,0.25,-0.03,11.990,0.95,0.03,0.22,11.990,0.96,0.06,0.54,11.990,1.08,0.06,0.29,11.990,1.12,0.00,0.00,11.990,0.45,0.00,-0.09,11.990,1.08,0.00,0.00,11.990,0.62,-5.17E-4,0.21,11.990,0.89,-0.01,-0.15,11.990,1.12,-0.24,-0.34
12.000,0.95,-0.07,0.42,12.000,1.11,9.24E-4,-0.24,12.000,1.11,0.25,-0.34,12.000,0.95,0.03,0.62,12.000,0.96,0.06,-0.06,12.000,1.08,0.07,0.52,12.000,1.12,0.00,0.00,12.000,0.45,3.73E-4,-0.16,12.000,1.08,0.00,0.00,12.000,0.62,0.00,0.13,12.000,0.89,-0.01,0.07,12.000,1.12,-0.22,0.01
12.010,0.95,-0.06,0.20,12.010,1.11,0.00,-0.11,12.010,1.11,0.24,-0.78,12.010,0.95,0.04,1.25,12.010,0.96,0.06,-0.62,12.010,1.08,0.08,0.41,12.010,1.12,0.00,-0.02,12.010,0.45,0.00,-0.01,12.010,1.08,0.00,0.00,12.010,0.62,0.00,-0.08,12.010,0.89,0.00,0.20,12.010,1.12,-0.22,-0.64
12.020,0.95,-0.06,0.32,12.020,1.11,0.00,0.14,12.020,1.12,0.23,-1.18,12.020,0.95,0.06,1.57,12.020,0.96,0.05,-1.01,12.020,1.08,0.08,0.07,12.020,1.12,0.00,0.03,12.020,0.45,-3.73E-4,0.11,12.020,1.08,0.00,0.00,12.020,0.62,5.17E-4,-0.21,12.020,0.89,0.00,0.17,12.020,1.12,-0.24,-0.79
12.030,0.95,-0.06,0.59,12.030,1.11,0.00,0.20,12.030,1.12,0.22,-1.48,12.030,0.95,0.08,1.18,12.030,0.96,0.03,-0.65,12.030,1.08,0.07,0.09,12.030,1.12,-9.31E-4,0.11,12.030,0.45,0.00,0.02,12.030,1.08,0.00,0.00,12.030,0.62,0.00,-0.12,12.030,0.89,0.00,0.06,12.030,1.11,-0.25,-0.01
12.040,0.95,-0.05,0.77,12.040,1.11,0.00,0.00,12.040,1.12,0.21,-1.86,12.040,0.95,0.09,0.32,12.040,0.96,0.02,0.58,12.040,1.08,0.07,0.51,12.040,1.12,0.00,0.09,12.040,0.45,3.73E-4,-0.15,12.040,1.08,0.00,0.00,12.040,0.62,0.00,0.05,12.040,0.89,0.00,0.00,12.040,1.11,-0.24,0.60
12.050,0.95,-0.04,0.59,12.050,1.11,9.24E-4,-0.22,12.050,1.12,0.18,-2.37,12.050,0.96,0.09,-0.45,12.050,0.96,0.04,1.72,12.050,1.09,0.09,0.68,12.050,1.12,0.00,-0.06,12.050,0.45,0.00,-0.12,12.050,1.08,0.00,0.00,12.050,0.62,0.00,0.07,12.050,0.89,0.00,0.00,12.050,1.11,-0.23,0.12
12.060,0.95,-0.04,0.33,12.060,1.11,0.00,-0.14,12.060,1.13,0.16,-3.09,12.060,0.96,0.08,-0.64,12.060,0.96,0.07,1.65,12.060,1.09,0.10,0.33,12.060,1.12,9.31E-4,-0.22,12.060,0.45,0.00,0.08,12.060,1.08,0.00,0.00,12.060,0.62,5.17E-4,-0.09,12.060,0.89,0.00,0.00,12.060,1.11,-0.23,-0.75
12.070,0.95,-0.04,0.13,12.070,1.11,0.00,0.03,12.070,1.13,0.12,-4.03,12.070,0.96,0.07,-0.39,12.070,0.96,0.09,0.25,12.070,1.09,0.09,-0.06,12.070,1.12,0.00,-0.14,12.070,0.45,-3.73E-4,0.20,12.070,1.08,0.00,0.00,12.070,0.62,0.00,-0.17,12.070,0.89,0.00,0.00,12.070,1.10,-0.25,-0.97
12.080,0.95,-0.03,0.13,12.080,1.11,0.00,0.11,12.080,1.13,0.08,-5.00,12.080,0.96,0.07,-0.17,12.080,0.96,0.08,-1.01,12.080,1.09,0.09,-0.06,12.080,1.12,0.00,0.03,12.080,0.45,0.00,0.12,12.080,1.08,0.00,0.00,12.080,0.62,-0.01,-0.03,12.080,0.89,0.00,0.00,12.080,1.10,-0.26,-0.61
12.090,0.95,-0.04,0.34,12.090,1.11,0.00,0.06,12.090,1.13,0.02,-5.52,12.090,0.96,0.07,-0.13,12.090,0.97,0.05,-0.86,12.090,1.09,0.09,0.15,12.090,1.12,0.00,0.11,12.090,0.45,0.00,-0.08,12.090,1.08,0.00,0.00,12.090,0.62,0.00,0.14,12.090,0.89,0.00,0.00,12.090,1.10,-0.26,0.24
12.100,0.95,-0.03,0.72,12.100,1.11,0.00,0.00,12.100,1.13,-0.04,-5.43,12.100,0.96,0.07,0.11,12.100,0.97,0.05,0.52,12.100,1.09,0.09,0.33,12.100,1.12,0.00,0.06,12.100,0.45,3.73E-4,-0.20,12.100,1.08,0.00,0.00,12.100,0.62,0.00,0.16,12.100,0.89,0.00,0.00,12.100,1.10,-0.26,1.34
12.110,0.95,-0.02,1.00,12.110,1.11,0.00,0.00,12.110,1.13,-0.09,-4.82,12.110,0.96,0.06,0.68,12.110,0.97,0.07,1.40,12.110,1.09,0.10,0.36,12.110,1.12,0.00,0.00,12.110,0.45,0.00,-0.11,12.110,1.08,0.00,0.00,12.110,0.62,0.00,0.06,12.110,0.89,0.00,0.00,12.110,1.09,-0.23,1.95
12.120,0.95,-0.01,0.72,12.120,1.11,0.00,-0.02,12.120,1.13,-0.14,-3.98,12.120,0.96,0.08,0.99,12.120,0.97,0.09,0.71,12.120,1.09,0.10,0.27,12.120,1.12,0.00,0.00,12.120,0.45,0.00,0.04,12.120,1.08,0.00,0.00,12.120,0.62,0.00,0.01,12.120,0.89,0.00,0.00,12.120,1.09,-0.20,1.37
12.130,0.95,0.00,0.11,12.130,1.11,0.00,0.03,12.130,1.12,-0.17,-3.06,12.130,0.96,0.10,0.53,12.130,0.97,0.09,-0.40,12.130,1.09,0.10,0.13,12.130,1.12,0.00,0.00,12.130,0.45,0.00,0.10,12.130,1.08,0.00,0.00,12.130,0.62,0.00,-0.03,12.130,0.89,0.00,0.00,12.130,1.09,-0.20,0.04
12.140,0.95,-0.01,-0.26,12.140,1.11,-9.24E-4,0.11,12.140,1.12,-0.20,-2.12,12.140,0.96,0.09,-0.16,12.140,0.97,0.07,-0.35,12.140,1.09,0.10,0.15,12.140,1.12,0.00,0.00,12.140,0.45,0.00,0.10,12.140,1.08,0.00,0.00,12.140,0.62,5.17E-4,-0.13,12.140,0.89,0.00,0.00,12.140,1.09,-0.21,-0.70
12.150,0.95,-0.01,-0.06,12.150,1.11,0.00,0.09,12.150,1.12,-0.21,-1.43,12.150,0.96,0.08,-0.20,12.150,0.97,0.07,0.74,12.150,1.09,0.10,0.33,12.150,1.12,0.00,0.00,12.150,0.45,-3.73E-4,0.10,12.150,1.08,0.00,-0.02,12.150,0.62,0.00,-0.21,12.150,0.89,0.00,0.00,12.150,1.09,-0.22,-0.83
12.160,0.95,-0.01,0.40,12.160,1.11,0.00,-0.06,12.160,1.12,-0.22,-0.95,12.160,0.96,0.08,0.25,12.160,0.97,0.09,1.21,12.160,1.10,0.11,0.36,12.160,1.12,0.00,-0.02,12.160,0.45,0.00,0.07,12.160,1.08,0.00,0.03,12.160,0.62,-0.01,-0.14,12.160,0.89,0.00,0.00,12.160,1.08,-0.22,-0.74
12.170,0.95,0.00,0.58,12.170,1.11,9.24E-4,-0.22,12.170,1.12,-0.23,-0.65,12.170,0.96,0.09,0.43,12.170,0.97,0.11,0.63,12.170,1.10,0.11,0.24,12.170,1.12,0.00,0.03,12.170,0.45,0.00,-0.08,12.170,1.08,-9.00E-4,0.10,12.170,0.62,-0.01,0.12,12.170,0.89,0.00,0.00,12.170,1.08,-0.24,-0.26
12.180,0.95,0.01,0.39,12.180,1.11,0.00,-0.14,12.180,1.11,-0.23,-0.40,12.180,0.97,0.10,0.38,12.180,0.97,0.10,-0.05,12.180,1.10,0.11,0.21,12.180,1.12,-9.31E-4,0.11,12.180,0.45,3.73E-4,-0.20,12.180,1.08,0.00,0.13,12.180,0.62,0.00,0.30,12.180,0.89,0.00,0.00,12.180,1.08,-0.24,0.52
12.190,0.95,0.01,0.13,12.190,1.11,0.00,0.03,12.190,1.11,-0.24,-0.17,12.190,0.97,0.09,0.57,12.190,0.97,0.10,-0.10,12.190,1.10,0.12,0.33,12.190,1.12,0.00,0.09,12.190,0.45,0.00,-0.11,12.190,1.08,0.00,0.03,12.190,0.62,0.00,0.23,12.190,0.89,0.00,0.00,12.190,1.08,-0.22,1.03
12.200,0.95,0.00,0.14,12.200,1.11,0.00,0.11,12.200,1.11,-0.24,-0.08,12.200,0.97,0.11,0.85,12.200,0.97,0.10,0.12,12.200,1.10,0.12,0.40,12.200,1.12,0.00,-0.06,12.200,0.45,0.00,0.04,12.200,1.08,0.00,-0.11,12.200,0.62,0.00,0.01,12.200,0.89,0.00,0.00,12.200,1.07,-0.21,0.76
12.210,0.95,0.01,0.34,12.210,1.11,0.00,0.06,12.210,1.11,-0.24,0.03,12.210,0.97,0.12,0.80,12.210,0.97,0.10,0.21,12.210,1.10,0.13,0.28,12.210,1.12,9.31E-4,-0.22,12.210,0.45,0.00,0.10,12.210,1.08,0.00,-0.08,12.210,0.62,0.00,-0.07,12.210,0.89,0.00,0.00,12.210,1.07,-0.21,0.44
12.220,0.95,0.01,0.51,12.220,1.11,0.00,0.00,12.220,1.10,-0.24,0.08,12.220,0.97,0.12,0.26,12.220,0.98,0.10,0.31,12.220,1.10,0.13,-0.19,12.220,1.12,0.00,-0.14,12.220,0.45,0.00,0.05,12.220,1.08,-9.00E-4,0.03,12.220,0.62,-5.17E-4,0.06,12.220,0.89,0.00,0.00,12.220,1.07,-0.21,0.86
12.230,0.95,0.02,0.59,12.230,1.11,0.00,-0.02,12.230,1.10,-0.24,0.14,12.230,0.97,0.12,-0.17,12.230,0.98,0.11,0.44,12.230,1.10,0.13,-0.63,12.230,1.12,0.00,0.03,12.230,0.45,0.00,0.00,12.230,1.08,0.00,0.14,12.230,0.62,0.00,0.03,12.230,0.89,0.00,0.00,12.230,1.07,-0.20,1.56
12.240,0.95,0.02,0.57,12.240,1.11,0.00,0.02,12.240,1.10,-0.24,0.16,12.240,0.97,0.12,0.14,12.240,0.98,0.11,0.44,12.240,1.11,0.11,-0.55,12.240,1.12,0.00,0.11,12.240,0.45,0.00,0.00,12.240,1.08,0.00,0.00,12.240,0.62,0.00,-0.15,12.240,0.89,0.00,0.00,12.240,1.07,-0.17,1.60
12.250,0.95,0.03,0.43,12.250,1.11,-9.24E-4,0.13,12.250,1.10,-0.23,0.10,12.250,0.97,0.12,1.13,12.250,0.98,0.12,0.22,12.250,1.11,0.11,0.04,12.250,1.12,0.00,0.06,12.250,0.45,0.00,0.00,12.250,1.08,0.00,-0.21,12.250,0.62,0.00,-0.14,12.250,0.89,0.00,0.00,12.250,1.06,-0.15,0.45
