"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
0.380,0.45,3.77E-4,-0.10,0.380,0.45,0.00,0.00,0.380,0.45,0.00,0.00,0.380,0.45,3.76E-4,-0.10,0.380,0.45,0.00,-0.11,0.380,0.88,-0.03,-0.06,0.380,1.12,0.00,0.11,0.380,0.45,-3.73E-4,0.10,0.380,1.08,0.00,-0.11,0.380,0.62,5.17E-4,-0.04,0.380,0.89,0.00,0.43,0.380,0.75,0.00,0.00
0.390,0.45,0.00,-0.07,0.390,0.45,0.00,-0.01,0.390,0.45,0.00,0.00,0.390,0.45,0.00,-0.07,0.390,0.45,0.00,0.04,0.390,0.88,-0.03,0.47,0.390,1.12,0.01,0.24,0.390,0.45,0.00,0.07,0.390,1.08,-8.98E-4,0.16,0.390,0.62,0.00,-0.10,0.390,0.89,0.01,0.45,0.390,0.75,0.00,0.00
0.400,0.45,0.00,0.08,0.400,0.45,0.00,0.04,0.400,0.45,0.00,0.00,0.400,0.45,0.00,0.08,0.400,0.45,0.00,0.10,0.400,0.88,-0.02,0.67,0.400,1.12,0.01,0.27,0.400,0.45,0.00,-0.08,0.400,1.08,0.00,0.14,0.400,0.62,0.00,-0.05,0.400,0.89,0.01,0.35,0.400,0.75,0.00,0.00
0.410,0.45,-3.77E-4,0.20,0.410,0.45,-3.73E-4,0.10,0.410,0.45,0.00,0.00,0.410,0.45,-3.76E-4,0.20,0.410,0.45,0.00,0.05,0.410,0.88,-0.01,0.17,0.410,1.12,0.01,0.16,0.410,0.45,3.73E-4,-0.20,0.410,1.08,0.00,-0.03,0.410,0.62,0.00,-0.05,0.410,0.89,0.02,0.34,0.410,0.75,0.00,0.00
0.420,0.45,0.00,0.11,0.420,0.45,0.00,0.07,0.420,0.45,0.00,0.00,0.420,0.45,0.00,0.11,0.420,0.45,0.00,0.04,0.420,0.88,-0.01,-0.77,0.420,1.12,0.01,0.13,0.420,0.45,0.00,-0.11,0.420,1.08,0.00,-0.10,0.420,0.62,0.00,-0.06,0.420,0.89,0.02,0.22,0.420,0.75,0.00,0.00
0.430,0.45,0.00,-0.04,0.430,0.45,0.00,-0.08,0.430,0.45,0.00,0.01,0.430,0.45,0.00,-0.04,0.430,0.45,-3.79E-4,0.10,0.430,0.88,-0.03,-1.47,0.430,1.12,0.01,0.05,0.430,0.45,0.00,0.04,0.430,1.08,0.00,-0.10,0.430,0.62,-0.01,0.03,0.430,0.89,0.03,-0.27,0.430,0.75,0.00,0.00
0.440,0.45,0.00,-0.10,0.440,0.45,3.73E-4,-0.20,0.440,0.45,0.00,-0.04,0.440,0.45,0.00,-0.10,0.440,0.45,0.00,0.06,0.440,0.88,-0.05,-1.45,0.440,1.12,0.02,-0.11,0.440,0.45,0.00,0.10,0.440,1.08,8.98E-4,-0.11,0.440,0.62,0.00,0.14,0.440,0.89,0.02,-0.80,0.440,0.75,0.00,0.00
0.450,0.45,0.00,-0.05,0.450,0.45,0.00,-0.11,0.450,0.45,3.73E-4,-0.10,0.450,0.45,0.00,-0.05,0.450,0.45,0.00,-0.04,0.450,0.88,-0.06,-0.82,0.450,1.12,0.01,-0.25,0.450,0.45,0.00,0.05,0.450,1.08,0.00,-0.09,0.450,0.62,0.00,0.16,0.450,0.89,0.00,-0.95,0.450,0.75,0.00,0.00
0.460,0.45,0.00,0.00,0.460,0.45,0.00,0.04,0.460,0.45,0.00,-0.07,0.460,0.45,0.00,0.00,0.460,0.45,0.00,-0.10,0.460,0.88,-0.06,-0.07,0.460,1.12,0.01,-0.22,0.460,0.45,0.00,0.00,0.460,1.08,0.00,0.07,0.460,0.62,-5.55E-15,0.06,0.460,0.89,0.00,-0.60,0.460,0.75,0.00,-0.01
0.470,0.45,0.00,0.00,0.470,0.45,0.00,0.10,0.470,0.45,0.00,0.12,0.470,0.45,0.00,0.00,0.470,0.45,0.00,-0.05,0.470,0.88,-0.06,0.03,0.470,1.12,0.01,-0.08,0.470,0.45,0.00,0.01,0.470,1.08,-8.98E-4,0.24,0.470,0.62,5.55E-15,-1.31E-28,0.470,0.89,-0.01,-0.26,0.470,0.75,0.00,0.04
